"Time [s]";"Pressure [mmHg]";
0.00;0.00;
0.01;0.00;
0.02;0.00;
0.03;0.00;
0.04;0.00;
0.05;0.00;
0.06;0.00;
0.07;0.00;
0.08;0.00;
0.09;0.00;
0.10;0.00;
0.11;0.00;
0.12;0.00;
0.13;0.00;
0.14;0.00;
0.15;0.00;
0.16;0.00;
0.17;0.00;
0.18;0.00;
0.19;0.00;
0.20;0.00;
0.21;0.00;
0.22;0.00;
0.23;0.00;
0.24;0.00;
0.25;0.00;
0.26;0.00;
0.27;0.00;
0.28;0.00;
0.29;0.00;
0.30;0.00;
0.31;0.00;
0.32;0.00;
0.33;0.00;
0.34;0.00;
0.35;0.00;
0.36;0.00;
0.37;0.00;
0.38;0.00;
0.39;0.00;
0.40;0.00;
0.41;0.00;
0.42;0.00;
0.43;0.00;
0.44;0.00;
0.45;0.00;
0.46;0.00;
0.47;0.00;
0.48;0.00;
0.49;0.00;
0.50;0.00;
0.51;0.00;
0.52;0.00;
0.53;0.00;
0.54;0.00;
0.55;0.00;
0.56;0.00;
0.57;0.00;
0.58;0.00;
0.59;0.00;
0.60;0.00;
0.61;0.00;
0.62;0.00;
0.63;0.00;
0.64;0.00;
0.65;0.00;
0.66;0.00;
0.67;0.00;
0.68;0.00;
0.69;0.00;
0.70;0.00;
0.71;0.00;
0.72;0.00;
0.73;0.00;
0.74;0.00;
0.75;0.00;
0.76;0.00;
0.77;0.00;
0.78;0.00;
0.79;0.00;
0.80;0.00;
0.81;0.00;
0.82;0.00;
0.83;0.00;
0.84;0.00;
0.85;0.00;
0.86;0.00;
0.87;0.00;
0.88;0.00;
0.89;0.00;
0.90;0.00;
0.91;0.00;
0.92;0.00;
0.93;0.00;
0.94;0.00;
0.95;0.00;
0.96;0.00;
0.97;0.00;
0.98;0.00;
0.99;0.00;
1.00;0.00;
1.01;0.00;
1.02;0.00;
1.03;0.00;
1.04;0.00;
1.05;0.27;
1.06;0.66;
1.07;1.28;
1.08;2.00;
1.09;2.72;
1.10;3.41;
1.11;4.12;
1.12;5.05;
1.13;5.59;
1.14;6.36;
1.15;7.11;
1.16;7.84;
1.17;8.62;
1.18;9.52;
1.19;10.17;
1.20;11.17;
1.21;11.98;
1.22;12.94;
1.23;13.92;
1.24;14.75;
1.25;15.77;
1.26;16.73;
1.27;17.67;
1.28;18.55;
1.29;19.64;
1.30;20.53;
1.31;21.64;
1.32;22.20;
1.33;23.23;
1.34;24.33;
1.35;25.22;
1.36;26.25;
1.37;26.78;
1.38;27.53;
1.39;28.12;
1.40;29.28;
1.41;30.34;
1.42;31.31;
1.43;32.36;
1.44;33.45;
1.45;34.55;
1.46;35.66;
1.47;36.62;
1.48;37.69;
1.49;38.83;
1.50;39.72;
1.51;40.83;
1.52;41.91;
1.53;43.09;
1.54;44.11;
1.55;45.11;
1.56;46.23;
1.57;47.16;
1.58;48.19;
1.59;49.22;
1.60;50.22;
1.61;51.33;
1.62;52.41;
1.63;53.33;
1.64;54.33;
1.65;55.23;
1.66;56.19;
1.67;57.28;
1.68;58.20;
1.69;59.23;
1.70;60.17;
1.71;61.09;
1.72;62.11;
1.73;63.12;
1.74;64.23;
1.75;65.28;
1.76;66.14;
1.77;67.27;
1.78;68.12;
1.79;69.12;
1.80;70.19;
1.81;71.11;
1.82;72.27;
1.83;65.69;
1.84;57.50;
1.85;51.81;
1.86;47.59;
1.87;44.30;
1.88;41.72;
1.89;39.44;
1.90;37.55;
1.91;35.83;
1.92;34.36;
1.93;33.06;
1.94;31.81;
1.95;30.80;
1.96;29.84;
1.97;29.06;
1.98;28.19;
1.99;27.41;
2.00;26.55;
2.01;25.94;
2.02;25.25;
2.03;24.69;
2.04;24.22;
2.05;23.70;
2.06;23.19;
2.07;22.81;
2.08;22.27;
2.09;21.83;
2.10;21.36;
2.11;20.95;
2.12;20.66;
2.13;20.22;
2.14;19.70;
2.15;19.45;
2.16;19.16;
2.17;18.94;
2.18;18.38;
2.19;18.23;
2.20;17.84;
2.21;17.52;
2.22;17.27;
2.23;17.19;
2.24;16.83;
2.25;16.42;
2.26;16.11;
2.27;15.92;
2.28;15.62;
2.29;15.25;
2.30;15.08;
2.31;14.81;
2.32;14.50;
2.33;14.45;
2.34;14.27;
2.35;13.98;
2.36;13.73;
2.37;13.53;
2.38;13.34;
2.39;13.11;
2.40;12.81;
2.41;12.72;
2.42;12.44;
2.43;12.19;
2.44;12.16;
2.45;11.75;
2.46;11.67;
2.47;11.45;
2.48;11.30;
2.49;11.06;
2.50;10.95;
2.51;10.83;
2.52;10.61;
2.53;10.38;
2.54;10.23;
2.55;10.14;
2.56;9.98;
2.57;9.72;
2.58;9.58;
2.59;9.44;
2.60;9.33;
2.61;9.16;
2.62;8.89;
2.63;8.80;
2.64;8.72;
2.65;8.47;
2.66;8.42;
2.67;8.23;
2.68;8.08;
2.69;7.81;
2.70;7.88;
2.71;7.84;
2.72;7.59;
2.73;7.47;
2.74;7.20;
2.75;7.12;
2.76;6.95;
2.77;6.81;
2.78;6.69;
2.79;6.52;
2.80;6.47;
2.81;6.27;
2.82;6.36;
2.83;6.08;
2.84;5.92;
2.85;5.86;
2.86;5.78;
2.87;5.67;
2.88;5.56;
2.89;5.53;
2.90;5.52;
2.91;5.36;
2.92;5.20;
2.93;5.02;
2.94;4.94;
2.95;5.05;
2.96;4.80;
2.97;4.75;
2.98;4.61;
2.99;4.48;
3.00;4.48;
3.01;4.19;
3.02;4.16;
3.03;4.23;
3.04;4.03;
3.05;4.03;
3.06;3.92;
3.07;3.86;
3.08;3.86;
3.09;3.66;
3.10;3.62;
3.11;3.70;
3.12;3.50;
3.13;3.41;
3.14;3.39;
3.15;3.25;
3.16;3.20;
3.17;3.20;
3.18;3.09;
3.19;3.05;
3.20;3.16;
3.21;2.94;
3.22;2.83;
3.23;2.91;
3.24;2.77;
3.25;2.72;
3.26;2.61;
3.27;2.66;
3.28;2.55;
3.29;2.59;
3.30;2.52;
3.31;2.42;
3.32;2.36;
3.33;2.33;
3.34;2.31;
3.35;2.19;
3.36;2.25;
3.37;2.12;
3.38;2.06;
3.39;2.17;
3.40;2.08;
3.41;1.47;
3.42;0.89;
3.43;0.56;
3.44;0.39;
3.45;0.14;
3.46;0.30;
3.47;0.20;
3.48;0.12;
3.49;0.09;
3.50;0.00;
3.51;0.00;
3.52;0.00;
3.53;0.00;
3.54;0.00;
3.55;0.00;
3.56;0.00;
3.57;0.00;
3.58;0.08;
3.59;0.00;
3.60;0.00;
3.61;0.00;
3.62;0.00;
3.63;0.00;
3.64;0.00;
3.65;0.00;
3.66;0.00;
3.67;0.00;
3.68;0.00;
3.69;0.00;
3.70;0.00;
3.71;0.00;
3.72;0.00;
3.73;0.00;
3.74;0.00;
3.75;0.00;
3.76;0.00;
3.77;0.00;
3.78;0.00;
3.79;0.00;
3.80;0.00;
3.81;0.00;
3.82;0.00;
3.83;0.00;
3.84;0.00;
3.85;0.00;
3.86;0.00;
3.87;0.00;
3.88;0.00;
3.89;0.00;
3.90;0.00;
3.91;0.00;
3.92;0.00;
3.93;0.00;
3.94;0.00;
3.95;0.00;
3.96;0.00;
3.97;0.00;
3.98;0.00;
3.99;0.00;
4.00;0.00;
